이름,2025 코멘트,강도,번호,생성일,연도,장소,층위,카드 ID,태그,형식
강도 구조,,M,1,2013년 3월 6일,2013,,Study,S-2013-001-M-IMG,"들뢰즈, 철학",IMG
사진 저널,"살고 있는 도시에 레이어드된 풍경들을 주로 찍었다. 도로위에 드리운 다른 도로의 그림자, 겹겹이 쌓이는 유리 재질의 난간과 문이 서로 얽히며 만들어내는 기하학적 조형성이 새로운 풍경으로 다가왔다. 내 주변의 자연이란 매일 눈에 들어오는 실제 주변의 환경이 아닐까 생각했다.",L,2,2016년 6월 13일,2016,대구,Unconsciousness,U-2016-002-L-IMG,"사진, 일기, 작업",IMG
김수자 개인전 / 마음의 기하학,"위대한 예술가, 훌륭한 예술가, 좋은 예술가로 예술가를 구분한다면 위대한 예술가로 회자될 김수자 작가의 개인전에서 작가님을 실제로 만났다. 들숨과 날숨, 씨실과 날실, 흐르는 물과 목구멍에서 밀어내는 가글하는 물을 통해 모든 사물의 작용과 반작용에 대해 느낄 수 있었다고 감상을 전했던 기억이 난다. 김수자 선생님은 이후 2023년 Frieze Seoul 에서 토크 프로그램 운영을 도우며 다시 만났다. 이때 만큼의 감동은 없었지만 토크 내내 꼿꼿이 솟은 허리는 여전했다.",H,3,2016년 8월 18일,2016,국립현대미술관 서울,Art,A-2016-003-H-IMG,예술,IMG
감각의 증상 전시,,H,8,2016년 12월 14일,2016,"계명대학교, 대구",Art,A-2016-008-H-IMG,"사진, 예술, 작업",IMG
대학 졸업장,대학 졸업장. 나는 지방 사립대라는 보이지 않는 꼬리표를 만들어 달고 다니며 나 스스로를 끊임없이 제한했다.,L,1,2017년 2월 17일,2017,"계명대학교, 대구",Life,L-2017-001-L-IMG,,IMG
"영웅의 모험 ","조셉 캠벨의 <천의 얼굴을 가진 영웅>을 갤러리 대표와 Jin과 함께 읽으며 정리한 내용을 공유했다. 이 책을 읽는 내내 시련을 직접 겪는 것 같아 괴로웠지만 —특히 잔인하고 끔찍한 신화들을 글자로 읽는 것을 당시에는 견디기 어려웠다— 삶에서 어떤 고난을 겪게 되더라도 영웅의 모험을 겪는 것이라 여기며 돌파할 수 있게 되었다. 정신력(정신 승리)의 근간이 된 책. 당시에도 나는 사랑에 관심이 많았고, 애인과의 관계 역시 하나의 여정으로 생각하고 싶었지만, 내가 어디로 가든 그건 혼자만의 모험이었다. 영웅의 모험이란 결국 혼자 떠나야 하는 것이다.",H,2,2017년 4월 29일,2017,"집, 대구",Study,S-2017-002-H-IMG,신화,IMG
Museum Association Membership,"2017년도 그랜드 투어를 떠나기 위해 런던 뮤지엄 어소시에이션 멤버십 카드를 발급했다. 영국에 있는 900개 이상의 뮤지엄, 갤러리, 특별전을 카드 하나로 모두 방문 및 관람할 수 있다. 이 카드로 내셔널 갤러리, 빅토리아 앤 알버트 뮤지엄, 영국 박물관, 내셔널 초상화 뮤지엄, 코톨드 갤러리 등 여러 곳을 다녀왔다.",M,3,2017년 6월 3일,2017,"런던, 영국",Art,A-2017-003-M-IMG,"여행, 예술",IMG
개인 과제,"2017 그랜드투어를 떠나기 전 갤러리 대표에게 개인 과제를 받았다. 막상 갔을 때 나는 교통, 숙소, 티켓 등 운영 전반을 담당하고 있었기 때문에 과중한 책임으로 스트레스가 매우 높아 개인 과제를 제대로 기록하지 못했다. 몇 가지 강렬한 기억만 몸에 남아 있는데 그건 어떻게 재료로 만들 수 있을지 모르겠다. 이 노트가 기억나지는 않았지만 이 과제는 내가 어딘가에 갈 때 어떤 것을 보고 느껴야 하는지 기준을 세우는 기본적인 가이드가 되었다.

당시에는 아트 필드에서 계속 일을 하고 나의 사업을 할 것이라 생각했다.",M,4,2017년 6월 6일,2017,대구,Work,W-2017-004-M-IMG,"일기, 작업",IMG
자료들,"이미지, 노트, 낙서, 기록들을 보는 것은 늘 즐겁다. 사실 이 Sencyclopedia 역시 이런 물리적인 재료들로 만들고 싶은 마음이 컸지만 작업 규모와 투입 시간을 고려해서 디지털 작업으로 결정하게 되었다. 이런 자료들을 볼 때마다 무엇인가 남기고 싶은 욕망이 가득해진다.",L,5,2017년 6월 10일 → 2017년 6월 11일,2017,,Art,A-2017-005-L-IMG,예술,IMG
FEAR EATS THE SOUL,"아트 바젤에 걸려있던 수억원의 작품들보다 이 작품이 눈에 더 들어왔다. 두려움에 사로잡혀 온 몸을 경직시키고 다니던 때다. 무엇이 그렇게 두려웠던 걸까. 지금도 마찬가지지만 세상도 나도 훨씬 모를 때인 17년도에 나는 나 자신이 가장 두려웠던 것 같다. 무엇을 얼마나 할 수 있을지, 어떤 것을 할 수 없는지 알지 못해서 였을까. FEAR EATS THE SOUL은 리크릿 티라바니자 Rirkrit Tiravanija라는 예술가의 작품인데, Rainer Werner Fassbinder라는 독일 영화 감독의 동명의 영화 <Angst essen Seele auf>에서 차용한 것이다. 리크릿 티라바니자는 1961년 아르헨티나 부에노스 아이레스에서 태어났다. 원작 영화도 한 번 보고싶다.",M,6,2017년 6월 17일,2017,"아트 바젤, 바젤, 스위스",Unconsciousness,U-2017-006-M-IMG,예술,IMG
